"TOA5","23537","CR1000X","23537","CR1000X.Std.05.01","CPU:9958303_PGIA_11_03_2022.cr1x","57965","T_5min2"
"TIMESTAMP","RECORD","DwPt_C","WtBb_C","HI_C","WC_C","SVP_2","WR_km_Tot","Raintex_mm__Tot","Rainhobo_mm_Tot","AirT_C_H2S3","Slr_MJ_Tot","Slr2_Wms","Slr2_MJ_Tot","Slr3_10m_wms","Rain10m_mm_Tot","BP_mbar_10m","RH_10m","Slr_10m_MJ_Tot"
"TS","RN","Deg C","Deg C","Deg C","Deg C","mbar","kilometers","mm","mm","Deg C","MJ/m^2","W/m^2","MJ/m^2","W/m^2","mm","mbar","%","MJ/m^2"
"","","Smp","Smp","Smp","Smp","Smp","Tot","Tot","Tot","Smp","Tot","Smp","Tot","Smp","Tot","Smp","Smp","Tot"
"2023-02-06 04:30:00",92042,18.21,18.21,18.21,18.21,20.9,0,0,0,19.8,0,0.001,7.506315E-09,0,0,1017.601,0.962,0
"2023-02-06 04:35:00",92043,18.25,18.25,18.25,18.25,20.96,0,0,0,19.79,0,0,1.660506E-09,0,0,1017.701,0.963,0
"2023-02-06 04:40:00",92044,18.32,18.32,18.32,18.32,21.05,0,0,0,19.86,0,0,2.166194E-09,0,0,1017.701,0.961,0
"2023-02-06 04:45:00",92045,18.43,18.43,18.43,18.43,21.19,0,0,0,20.01,0,0,3.910576E-09,0,0,1017.801,0.962,0
"2023-02-06 04:50:00",92046,18.47,18.47,18.47,18.47,21.24,0,0,0,19.98,0,0,7.488076E-10,0,0,1017.801,0.964,0
"2023-02-06 04:55:00",92047,18.5,18.5,18.5,18.5,21.28,0,0,0,19.96,0,0,1.944955E-09,0,0,1017.701,0.965,0
"2023-02-06 05:00:00",92048,18.53,18.53,18.53,18.53,21.32,0,0,0,20.02,0,0.001,6.167936E-09,0,0,1017.801,0.966,0
"2023-02-06 05:05:00",92049,18.59,18.59,18.59,18.59,21.4,0,0,0,20.07,0,0,1.953463E-09,0,0,1017.801,0.966,0
"2023-02-06 05:10:00",92050,18.63,18.63,18.63,18.63,21.47,0,0,0,20.14,0,0,1.746811E-09,0,0,1017.801,0.967,0
"2023-02-06 05:15:00",92051,18.69,18.69,18.69,18.69,21.53,0,0,0,20.16,0,0,3.090045E-09,0,0,1017.901,0.966,0
"2023-02-06 05:20:00",92052,18.7,18.7,18.7,18.7,21.56,0,0,0,20.13,0,0,1.644701E-09,0,0,1018.001,0.97,0
"2023-02-06 05:25:00",92053,18.72,18.72,18.72,18.72,21.57,0,0,0,20.18,2.648352E-08,0,1.56204E-09,0,0,1018.001,0.97,0
"2023-02-06 05:30:00",92054,18.73,18.73,18.73,18.73,21.6,0,0,0,20.13,0,0,5.472611E-09,0,0,1018.001,0.972,0
"2023-02-06 05:35:00",92055,18.76,18.76,18.76,18.76,21.63,0,0,0,20.17,3.778177E-08,0,1.283669E-09,0,0,1018.001,0.97,0
"2023-02-06 05:40:00",92056,18.8,18.8,18.8,18.8,21.69,0,0,0,20.27,1.137686E-07,0,3.480249E-09,0,0,1018.101,0.971,0
"2023-02-06 05:45:00",92057,18.85,18.85,18.85,18.85,21.75,0,0,0,20.31,2.106113E-07,0,3.088826E-09,0,0,1018.201,0.973,0
"2023-02-06 05:50:00",92058,18.87,18.87,18.87,18.87,21.79,0,0,0,20.32,1.41958E-07,0,5.11036E-09,0,0,1018.101,0.968,0
"2023-02-06 05:55:00",92059,18.89,18.89,18.89,18.89,21.82,0,0,0,20.28,2.912105E-07,0.001,1.886603E-08,0,0,1018.201,0.97,0
"2023-02-06 06:00:00",92060,18.9,18.9,18.9,18.9,21.83,0,0,0,20.28,1.692146E-08,0.007,8.617958E-08,0,0,1018.301,0.97,0
"2023-02-06 06:05:00",92061,18.95,18.95,18.95,18.95,21.89,0,0,0,20.33,9.442111E-07,0.04,5.198902E-07,0,0,1018.501,0.967,0
